question_id,questions,class,direct_indirect,factual_opinion,is_original
0,"Which one should I prefer\: a low ranking NIT or a top private college? and Why?","College comparison",indirect,opinion,1
4293746,"Which one should I prefer: a low ranking NIT or a top private college and why?","College comparison",indirect,opinion,0
4316767,"Which one should I prefer: a low ranking IIM college or top private B-school and why?","College comparison",indirect,opinion,0
2543752,"what should one prefer low nit like nit srinagar nit patna or prefer a private like jaypee noida mit pune","College comparison",indirect,opinion,0
4293323,"Which one should I prefer between these two: NITs or IIITs? and Why?","College comparison",indirect,opinion,0
4317110,"Which one should I prefer for a PGPM program: IIM, Ahmedabad or IIM, Bangalore and why?","College comparison",indirect,opinion,0
4293243,"Which one should I prefer: an average engineering college abroad or a good engineering college in India?","College comparison",indirect,opinion,0
4141182,"Which one should I prefer among a good branch and going for a good college like IIT and NIT?","College comparison",indirect,opinion,0
4368291,"Which one should I prefer for a hotel management course: IHM or IIHM and why?","College comparison",indirect,opinion,0
4316984,"Which one should I prefer for a BBA: Galgotias University or Techno India University and why?","College comparison",indirect,opinion,0
4317071,"Which one should I prefer for a BBM: Dayananda Sagar Institutions or Presidency College and why?","College comparison",indirect,opinion,0
3958165,"Which one should I choose among a college with high ranking but avg. salary (5-6 lakhs) or the one with low ranking but better salary?","College comparison",indirect,opinion,0
4345055,"Which one should I prefer for a course in Humanities: Madras Christian College, Chennai or Ethiraj College, Chennai and why?","College comparison",indirect,opinion,0
4345130,"Which one should I prefer for a course in Humanities: Christ University, Bangalore or St.Josephs College, Bangalore and why?","College comparison",indirect,opinion,0
4179241,"Which North-East NIT should I prefer as a north Indian prefer- Silchar or Agartala?","College comparison",indirect,opinion,0
4368346,"Which one should I prefer for a hotel management course: WGSHA or  Bangalore Aviation Academy and Hospitality Management and why?","College comparison",indirect,opinion,0
4368279,"Which one should I prefer for a travel and tourism course: Christ University or Acharya Nagarjuna University and why?","College comparison",indirect,opinion,0
4112246,"Should I prefer a state university or a private one right now? I am opting for a UG course and hoping to do my PG abroad.","College comparison",indirect,opinion,0
1728845,"Which one NIT Nagpur or NIT Calicut should I prefer in terms of academics and all the facilities(sports,co-curr etc) provided ?","College comparison",indirect,opinion,0
4317027,"Which one should I prefer for a BBA: HBS, GITAM University or Dinabandhu Andrews Institute of Technology and Management? Why?","College comparison",indirect,opinion,0
3731784,"Which college among NIT, Goa and NIT, Silchar should I prefer for electrical or mechanical branch?","College comparison",indirect,opinion,0
4368265,"Which one should I prefer for a T&amp;T course: Garden City College or Aimfill International and why?","College comparison",indirect,opinion,0
4368277,"Which one should I prefer for a T&amp;T course: NSHM or International Institute Of Hotel Management and why?","College comparison",indirect,opinion,0
4368387,"Which one should I prefer for a T&amp;T course: IIHM or RIG Institute and why?","College comparison",indirect,opinion,0
4368446,"Which one should I prefer for a hotel management course: IHM Delhi, Pusa or IHM Aurangabad and why?","College comparison",indirect,opinion,0
4368455,"Which one should I prefer for a hotel management course: IHM Ahmedabad or IHM Guwahati and why?","College comparison",indirect,opinion,0
