,question,result
0,Can I get admission in this university? I have scored 50 marks in JEE mains.,()
1,Can you suggest some good universities for B.Tech CSE that I can get with 17 marks in JEE Mains and 73% in Class 12th?,()
2,"How is Jain University, Bangalore in terms of placement for PGDM? Is it better for MBA or PGDM?",()
3,Is it ppossible to prepare for CAT as well as UPSC???,"('EXAM-preparation-direct-opinion', 'EXAM-scores-indirect-opinion')"
4,Can I go for part time job soon after I join there? Because I will have problem financially..,()
5,"I have more then 30 Marks in CET, But not attended GD-PI Round, What would i do now?","('EXAM-GDPI-direct-opinion', 'LISTING-GDPI-direct-opinion')"
6,How is the standard of SGT Medical College and Dental Colleges in Gurgaon?,"('COMPARISON-College comparison-direct-opinion',)"
7,Which short-term courses can I pursue along with B.Com? I am an FY B.Com student and have completed my 12th.,()
8,"Is experience mandatory? and how much will it cost for the total package : course fees, staying and food expenses?","('LISTING-Fees-indirect-factual',)"
9,How is the placement record at ISBM? What is the current average package offered by the recruiters in finance?,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
10,What is the average packages offered in campus placement?What is the last date apply for 2016 batch?,"('EXAM-dates-direct-factual',)"
11,courses for journalism and mass communication &amp; its subject combination.,"('COMPARISON-course comp-indirect-opinion',)"
12,How many times can I give ATMA exam in a year?,()
13,"mere  2 mein 69% marks hai,what is the jee score required to get admission in the pec?",()
14,How many marks shall I secure to get admission in NITs or IIITs? I belong to SC category.,()
15,"Is there any fee concession for reserved category in IHM, Kolkata?",()
16,my daughter is studying electronics and communication engineering. is this college suitable for MS. What are the total expenses?,()
17,"If I solve previous year's question paper of JEE Mains, can I score good marks in JEE Mains?","('EXAM-answer key-direct-factual', 'EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion', 'EXAM-sample papers-indirect-factual')"
18,Does IES provides hostel facility?,"('LISTING-hostel-direct-factual', 'LISTING-hostel-direct-opinion')"
19,Can you review Aachen University of Germany for Masters in computer science? Is it a good option for Indian students?,()
20,"Which is the best institute to pursue MBA, Sri University, Odisha or KSOM, Odisha?",()
21,"i have completed my 12th standard this year and i had also appeared for the engineering entrance exams like iit,aieee,viteee, srmuniv,ojee etc. i got 22345 rank in ojee. can i get admission in youa college?",()
22,How can my daughter appear for the engineering entrance exam of different institutes if she fails to qualify JEE Mains?,()
23,"I have 75%  marks in 10th class and 70%  in 10+2. i did my 10th class from himachal pradesh school board(Dharmshala).And i did my 10+2 from ignou. now iam persuding my b.tech from ptu.Am i eligible for taking placement in infosis, because i did my 10+2 from ignou as infosis required 65%  in 10th and 12th class?",()
24,Please inform me about the eligibility for mca honours nd colleges in up providing it.............and also the exams with upcoming exam date,()
25,Which is the best college abroad for further studies after class 12th? What is the eligibility criteria for the same?,()
26,Which one is better among B.Pharma and BHM?,"('COMPARISON-course comp-indirect-opinion',)"
27,Can I get any NIT or any government college for B.Tech in computer science? I have scored 93 marks in JEE mains and 89.2% in class 12th.,()
28,My daughter has just appeared in the final of B COM (Hons) from DU and has simultaneously taken coaching for CAT is it manditory for obtaining admission in your institute to have good score in CAT or  you have your own test for selection process  at symbiosis . For next session 2011-2012,()
29,"How much cut off do I need to score to get into IIM, Indore? What is the cut off allotted to the IIMs of different states?","('LISTING-Cut off-direct-opinion',)"
30,what is the placements for job?,"('LISTING-placements-direct-opinion',)"
